tick,tick_dt,input_force,output_speed,output_ang_vel,output_angle,output_position
65.0,0.009599230950698256,0.0,-8.471535417604942e-08,2.0632739751730572e-06,3.1139570062590024e-07,-9.675490027259473e-08
66.0,0.01039353501982987,0.0,-7.374103680250363e-08,9.027263278717608e-07,3.32840410942365e-07,-9.763539227294078e-08
67.0,0.009664879064075649,0.0,-6.817385439716536e-08,2.070493287270842e-06,3.4156515172920266e-07,-9.834809047569653e-08
68.0,0.00993043091148138,0.0,-5.593901712045032e-08,1.4080463481294142e-06,3.621260422711317e-07,-9.902508622675698e-08
69.0,0.010653345962055027,0.0,-3.332688447514061e-07,7.704249587395493e-07,3.7712644714836255e-07,-9.962102392891845e-08
70.0,0.009571843082085252,0.0,-2.968822050343543e-07,1.950611751906943e-06,3.845008339599395e-07,-1.0281102101502674e-07
71.0,0.01024188892915845,0.0,-2.8340227366856215e-07,8.432966753741012e-07,4.044787828668816e-07,-1.0585165558403224e-07
72.0,0.009623602032661438,0.0,-2.747165949351774e-07,1.935399582383685e-06,4.125943344661484e-07,-1.0857900628096989e-07
73.0,0.009552881005220115,0.0,-2.5991311554097085e-07,1.5007763381142781e-06,4.3108297637421245e-07,-1.112033412225449e-07
74.0,0.010581069975160062,0.0,-1.722331423289764e-07,1.8219517802551552e-06,4.469627958248641e-07,-1.1395350008554578e-07
75.0,0.00957884406670928,0.0,-1.6627850265680197e-07,2.550005834005127e-06,4.6441498782499156e-07,-1.1560329449903438e-07
76.0,0.010447348933666945,0.0,-1.4883705243334677e-07,1.5130188489267137e-06,4.910557885557295e-07,-1.1734046403645767e-07
77.0,0.00966956396587193,0.0,-1.370898526849912e-07,2.7067720805853747e-06,5.056860210969963e-07,-1.1877965343545374e-07
78.0,0.010581179987639189,0.0,-1.1766170365365251e-07,1.9418990962104878e-06,5.343268636671867e-07,-1.2023022584119258e-07
79.0,0.00985361693892628,0.0,-1.025172430430489e-07,2.967855451191797e-06,5.53461593495292e-07,-1.2138961919737715e-07
80.0,0.009614379960112274,0.0,-8.227130488817082e-08,2.3127515827796566e-06,5.819956834697404e-07,-1.223752589244562e-07
81.0,0.010253148037008941,0.0,-5.894342005605421e-08,2.4810584200447507e-06,6.05708667820807e-07,-1.232187987926725e-07
82.0,0.0096673050429672,0.0,-3.866632377118851e-08,3.0914879051831955e-06,6.296938163968018e-07,-1.2378862281463013e-07
83.0,0.010569088044576347,0.0,-1.317801393027613e-08,2.776919314305914e-06,6.623680242554259e-07,-1.2419729059492791e-07
84.0,0.009766581002622843,0.0,8.237539124517135e-09,3.6310279665260334e-06,6.894890316763425e-07,-1.2432599473543165e-07
85.0,0.009651490952819586,0.0,3.366609778648079e-08,2.9567486463676793e-06,7.245338652447034e-07,-1.2424649020109787e-07
86.0,0.010234556044451892,0.0,6.300836973198083e-08,3.3606302147528668e-06,7.547948749753107e-07,-1.2390193263650414e-07
87.0,0.009531641029752791,0.0,8.99705994369513e-08,3.831121267995085e-06,7.86827195816076e-07,-1.2330135947434896e-07
88.0,0.010582235991023481,0.0,1.221708281529166e-07,3.4639018808363083e-06,8.273690251842291e-07,-1.223492693588533e-07
89.0,0.009682064061053097,0.0,1.4771956347678604e-07,4.63319394051974e-06,8.609067450956886e-07,-1.2116640357428484e-07
90.0,0.010668124072253704,0.0,1.8237953245443092e-07,3.7136407773089497e-06,9.103342329039672e-07,-1.1959051294321532e-07
91.0,0.009193829959258437,0.0,2.101056962729007e-07,4.92946735885342e-06,9.44476814740314e-07,-1.1791374653378023e-07
92.0,0.010617012972943485,0.0,2.473128921576985e-07,3.5478881412468445e-06,9.968130336389621e-07,-1.1568305163076152e-07
93.0,0.009656008915044367,0.0,2.7161129897722967e-07,5.842714745249738e-06,1.0310714731604218e-06,-1.1329499613928138e-07
94.0,0.00962443498428911,0.0,3.096236268776019e-07,4.637054137254239e-06,1.0873043013578252e-06,-1.1068089085127672e-07
95.0,0.010491663007996976,0.0,1.5973884790718766e-07,5.08415313324672e-06,1.1359547107157348e-06,-1.0743242409876312e-07
96.0,0.010354739963077009,0.0,2.0723333399996613e-07,5.75757090295675e-06,1.188599794342968e-06,-1.0577836986668269e-07
97.0,0.009689082042314112,0.0,4.5670084421020144e-07,6.210538693444393e-06,1.2443853711861563e-06,-1.0377046909165474e-07
98.0,0.009802748099900782,0.0,5.066669231678794e-07,5.7368580851293e-06,1.3052657175626785e-06,-9.92935457588501e-08
99.0,0.009870321024209261,0.0,-4.793350192840033e-07,4.4558945206286556e-06,1.3618903485332352e-06,-9.429258057483476e-08
100.0,0.00973552605137229,0.0,-2.602661717771348e-07,5.185204478701545e-06,1.4052708257209824e-06,-9.895915914240921e-08
101.0,0.010383313056081533,0.0,5.601934347943923e-07,7.3377013047456615e-06,1.4591104270831367e-06,-1.0166158428187909e-07
102.0,0.009817506070248783,0.0,4.985918589147032e-07,7.432784572397492e-06,1.5311483541841495e-06,-9.616188183527163e-08
103.0,0.010624310001730919,0.0,4.58589644975559e-07,7.243659136106892e-06,1.6101165616573834e-06,-9.086468736182254e-08
104.0,0.009722786024212837,0.0,5.275818737079037e-07,8.066444460825032e-06,1.6805451094700852e-06,-8.640591837080545e-08
105.0,0.009603251004591584,0.0,5.907250058252951e-07,7.618001302131047e-06,1.7580092003419854e-06,-8.133941721211571e-08
106.0,0.01032188895624131,0.0,4.019321766669701e-07,8.189773268792211e-06,1.8366413638510838e-06,-7.524201929831202e-08
107.0,0.009591602021828294,0.0,4.5580867751591916e-07,8.751856397289292e-06,1.9151944096943466e-06,-7.138684581995526e-08
108.0,0.010579754947684705,0.0,5.321184217620333e-07,8.52536676386794e-06,2.007786905714994e-06,-6.65645017088086e-08
109.0,0.010205538012087345,0.0,6.079410044107178e-07,9.990528061376521e-06,2.094792860290634e-06,-6.113394692858423e-08
110.0,0.009694488951936364,0.0,3.8076176559464627e-07,9.96198179008682e-06,2.1916459242056592e-06,-5.5240269577895435e-08
111.0,0.01025477796792984,0.0,4.5104497577953913e-07,9.366770462139707e-06,2.29380383558356e-06,-5.133564221304539e-08
112.0,0.009568916982971132,0.0,4.0031032039173973e-07,1.0380812772002254e-05,2.383433684534321e-06,-4.701963028422476e-08
113.0,0.010485514998435974,0.0,4.85682468738122e-07,1.0341371429590164e-05,2.492281852551106e-06,-4.282217041572846e-08
114.0,0.01008220692165196,0.0,5.810040312592428e-07,1.1804558908057535e-05,2.5965456991578936e-06,-3.792541926769195e-08
115.0,0.009788747993297875,0.0,3.027101200747692e-07,1.1675355832704706e-05,2.7120975514809084e-06,-3.2238117222605064e-08
116.0,0.009716266999021173,0.0,4.0905864437524114e-07,1.1593753689095925e-05,2.8255384260600463e-06,-2.929690487265285e-08
117.0,0.00963428698014468,0.0,2.6530556619236695e-07,1.2168883711011426e-05,2.9372359762779074e-06,-2.535591650103283e-08
118.0,0.010679030907340348,0.0,2.406709679327331e-07,1.2633098959607318e-05,3.067187861535629e-06,-2.2522710159775113e-08
119.0,0.009652471984736621,0.0,3.6871987391846715e-07,1.38118443763004e-05,3.189128495323644e-06,-2.019964038426496e-08
120.0,0.010002929950132966,0.0,4.939561010582144e-07,1.3425614455780845e-05,3.3272874071019146e-06,-1.6511361314236674e-08
121.0,0.010428739013150334,0.0,2.5692948195873053e-07,1.4327334789651038e-05,3.4672996363524315e-06,-1.1360022052347244e-08
122.0,0.009647398022934794,0.0,4.185558888394827e-07,1.5331649699607142e-05,3.605521137676036e-06,-8.881321076064927e-09
123.0,0.011396465008147061,-1.4182264674484719e-05,2.602040196538878e-07,1.4943627254478781e-05,3.780247746994777e-06,-4.111263534951872e-09
124.0,0.011887050932273269,-0.00014157993999743343,-2.6272979285076903e-06,1.2409340053634742e-05,3.957883405281674e-06,-1.0182051005438725e-09
125.0,0.00636516697704792,-0.0007663479619152658,-2.1212406724257224e-06,1.1400934736282633e-05,4.036870926798028e-06,-1.7741395113947428e-08
126.0,0.010027632932178676,-0.0008866323637800656,-1.208498820877294e-05,-1.0912118202167018e-05,4.151195315417195e-06,-3.901241793784044e-08
127.0,0.01054427307099104,-0.0008866323637800656,6.226946669438122e-05,0.0841142597210964,4.036134961310614e-06,-1.664398336708492e-07
128.0,0.009678841102868319,-0.0008866323637800656,-0.00016135527641354566,-0.11805082250778132,0.0008181646892871995,4.3625644002441754e-07
129.0,0.009706248063594103,-0.0008866323637800656,-0.00018487512962945358,-0.00042393079769276394,-0.00032766587808464405,-1.1298978992152513e-06
130.0,0.010649310075677931,-0.0008866323637800656,-6.946335971671398e-05,-0.0002101251604053589,-0.00033218044859990376,-3.098690479920455e-06
131.0,0.00935769802890718,-0.0008866323637800656,-1.7133323600412054e-05,-0.00015104605846123835,-0.0003341467363992528,-3.74870762422282e-06
132.0,0.010590309975668788,-0.0008866323637800656,-6.954664573233951e-06,-0.00018410994536156017,-0.0003357463609789603,-3.930154832064625e-06
133.0,0.009555954951792955,-0.0008866323637800656,-8.441937513394563e-06,-0.00024037951595675097,-0.00033750570732301243,-3.996613293431279e-06
134.0,0.010660697938874364,-0.0008866323637800656,-6.160792246296e-06,-0.0002927528262323906,-0.0003400683207333202,-4.086610239280431e-06
135.0,0.009642935008741915,-0.0008866323637800656,-7.724159380643243e-06,-0.0003504745843034139,-0.00034289131721030463,-4.146018358513824e-06
136.0,0.01039899792522192,-0.0008866323637800656,-5.950479674715459e-06,-0.0004036200645352621,-0.00034653590168531883,-4.226341875887217e-06
137.0,0.009631749941036105,-0.0008866323637800656,-5.656556650548963e-06,-0.0004583746642629472,-0.00035042346921810734,-4.2836554081432945e-06
138.0,0.009638193994760513,-0.0008866323637800656,-3.7017682779474715e-06,-0.0005083234974120663,-0.00035484137315455684,-4.338174398483638e-06
139.0,0.01065056910738349,-0.0008866323637800656,-2.9468430955151972e-08,-0.0005624287765275231,-0.00036025530769265095,-4.377600337347438e-06
140.0,0.009704526048153639,-0.0008866323637800656,-6.39963797681119e-06,-0.0006340070798556222,-0.0003657134124046935,-4.37788631450324e-06
141.0,0.00930512510240078,-0.0008866323637800656,-4.846619739079253e-06,-0.000685428836937417,-0.00037161292759855787,-4.437435746487544e-06
142.0,0.010622642934322357,-0.0008866323637800656,-4.773579602521351e-06,-0.0007501231006232058,-0.00037889399339023194,-4.488919657414221e-06
143.0,0.009489492978900671,-0.0008866323637800656,-8.366387135096998e-06,-0.0008179141351853154,-0.00038601228128690705,-4.534218507536571e-06
144.0,0.010660364059731364,-0.0008866323637800656,-6.874669433915909e-06,-0.0008813576452453749,-0.00039473154373758284,-4.623407240261358e-06
145.0,0.009675064007751644,-0.0008866323637800656,-8.41429255795284e-06,-0.00094870517905767,-0.0004032587353690531,-4.689920107066628e-06
146.0,0.009899763972498477,0.050273582467133315,3.065521781844301e-05,-0.0009243806489718304,-0.00041265069272121093,-4.773219617385911e-06
147.0,0.010570272919721901,0.050273582467133315,5.047594782525675e-06,-0.0010569071067255454,-0.00042242164846255283,-4.449185598631447e-06
148.0,0.009663786040619016,0.050273582467133315,1.570555976405132e-05,-0.0011019510015207478,-0.00043263537260675817,-4.400406722633374e-06
149.0,0.009615306043997407,0.050273582467133315,3.168165028436285e-05,-0.0011299589563944692,-0.0004432309687318696,-4.249392958909729e-06
150.0,0.010656271944753826,0.050273582467133315,3.2970785733046e-06,-0.001273960050620717,-0.00045527211865761927,-3.911784677820971e-06
151.0,0.009463623049668968,0.050273582467133315,2.2502578509618847e-05,-0.0013057932214450105,-0.00046732839635703095,-3.880582369038076e-06
152.0,0.010553273023106158,0.050273582467133315,3.84917804072155e-05,-0.0013454195812156002,-0.00048110878873466146,-3.6431065143021875e-06
153.0,0.009520270046778023,0.050273582467133315,2.7318188127844427e-05,-0.0014532626048179274,-0.0004939175464740569,-3.2766543702442167e-06
154.0,0.009720969945192337,0.050273582467133315,3.336244223377094e-05,-0.001512580587771981,-0.000508044668577964,-3.011095084496331e-06
155.0,0.010440738988108933,0.050273582467133315,4.343521046386005e-06,-0.0016689937256302028,-0.0005238371276933716,-2.6627665331276667e-06
156.0,0.01051912596449256,0.050273582467133315,1.8589883763279058e-05,-0.0017309213266069332,-0.0005413934829272234,-2.617076488111308e-06
157.0,0.009724711067974567,0.050273582467133315,2.057938433622749e-06,-0.0018529618187981354,-0.0005582261927098711,-2.4362952397261872e-06
158.0,0.009699230082333088,0.050273582467133315,3.0316142438562006e-05,-0.0018769556289356538,-0.0005761984957241725,-2.416334821363204e-06
159.0,0.009630768094211817,0.050273582467133315,1.8263494234537835e-06,-0.002035254520872946,-0.0005942750201095773,-2.1243670840263202e-06
160.0,0.010577218024991453,0.050273582467133315,3.289962644605361e-06,-0.002136788507285745,-0.0006158023509132,-2.105049387984632e-06
161.0,0.009433177998289466,0.050273582467133315,2.039991547931729e-05,-0.0021983966257997853,-0.0006359590572471257,-2.0740145847503466e-06
162.0,0.013122014002874494,0.13488743849826157,0.0018830254779744274,0.0007123728128444953,-0.0006648064485547426,-1.8063266081732889e-06
163.0,0.007502595079131424,0.13488743849826157,0.0028533572521061805,0.002231270932577056,-0.0006594618037945885,1.2321251076756748e-05
164.0,0.00972761888988316,0.13488743849826157,0.004111987377221155,0.004193552650732674,-0.0006377568505224046,4.0077622981929935e-05
165.0,0.009627879015170038,0.13488743849826157,0.005359561542887404,0.006159258558169373,-0.0005973818329574048,7.966733996172157e-05
166.0,0.010515533038415015,0.13488743849826157,0.006724498363565599,0.0083097797006156,-0.0005326139460968343,0.0001360259864373726
167.0,0.009630084037780762,0.13488743849826157,0.007977553657189345,0.01030016114711107,-0.0004525900692444614,0.00020078347079042854
168.0,0.010630717035382986,0.13488743849826157,0.009365229532662623,0.01252101464007388,-0.0003430919706706778,0.00028559058635459314
169.0,0.009620434953831136,0.13488743849826157,0.01062556045506539,0.014559931490266177,-0.00022263436376987965,0.0003756881679012723
170.0,0.009546602959744632,0.13488743849826157,0.011881243026942122,0.01660955638352617,-8.36364787112255e-05,0.0004771261747905451
171.0,0.010244611068628728,0.13488743849826157,0.01323550193810614,0.01885072651520643,8.652196646045967e-05,0.0005988448886134242
172.0,0.010551717947237194,0.13488743849826157,0.014638430819502977,0.021206140671680637,0.00028542951574942344,0.0007385021719544314
173.0,0.009515473968349397,0.13488743849826157,0.015910944230369328,0.023372220112690724,0.00048721599527995593,0.0008777937793548955
174.0,0.009613360976800323,0.13488743849826157,0.017204840053753123,0.025608304564798064,0.0007119015840524846,0.0010307514297231743
175.0,0.010388627997599542,0.13488743849826157,0.01861376489577973,0.02808900026458743,0.000977936733825402,0.001209486112799816
176.0,0.010379721061326563,0.13488743849826157,0.020033112355657363,0.03063501495217822,0.0012694927214633475,0.001402691800319122
177.0,0.009668434038758278,0.13488743849826157,0.02136618417242401,0.03306954927068436,0.0015656853428048562,0.0015963806257208286
178.0,0.009653565008193254,0.13488743849826157,0.022709061398867393,0.035569533212772265,0.0018849243864810575,0.0018026404736063535
179.0,0.010802455013617873,0.13488743849826157,0.024227751547060066,0.038461491933887,0.0022691626688674167,0.0020479540877691048
180.0,0.00963350897654891,0.13488743849826157,0.025595840050019154,0.041120961824696926,0.0026396817966639805,0.002281352349779305
181.0,0.010337555082514882,0.13488743849826157,0.027080750832682993,0.04407041438964011,0.0030647720045727765,0.0025459507561796184
182.0,0.009648267994634807,0.13488743849826157,0.028482503198183986,0.04691869972330385,0.0034899751732386346,0.0028072330977092735
183.0,0.009538362035527825,0.13488743849826157,0.029884645061796555,0.049827420311395844,0.003937502717435726,0.0030789095248916314
184.0,0.010590346995741129,0.13488743849826157,0.03146295792175453,0.05318409485401457,0.004465192388436048,0.0033953982859406184
185.0,0.009524491964839399,0.13488743849826157,0.03290098857737899,0.05631172946204737,0.004971743872530366,0.0036950669758564494
186.0,0.010423609055578709,0.13488743849826157,0.034498240921660914,0.05986897711089988,0.0055587153256862615,0.0040380140183291086
187.0,0.009591102949343622,0.13488743849826157,0.03598916791564268,0.06326904048397311,0.006132924848628799,0.004368890198580017
188.0,0.010493829962797463,0.13488743849826157,0.03764714534327609,0.06714191792247737,0.006796859401376962,0.004746554407189338
189.0,0.009552787989377975,0.13488743849826157,0.039180053167882804,0.07080783283106712,0.0074382519084906056,0.005106189605058952
190.0,0.010553458938375115,0.13488743849826157,0.04090379289356105,0.07503130915757325,0.008185519464788602,0.0055196746873695576
191.0,0.009325513965450227,0.13488743849826157,0.04245210374309022,0.0789128115842118,0.008885224986183566,0.005901123579238345
192.0,0.01066327199805528,0.13488743849826157,0.04425694224199434,0.08354842985914611,0.009726693760237303,0.006353801908340576
193.0,0.009589305962435901,0.13488743849826157,0.04590959378610926,0.08789348625668256,0.01052786521683777,0.006778195268460914
194.0,0.010597068932838738,0.13488743849826157,0.04777377862541913,0.09291186242839657,0.01145927854944735,0.007264702398490939
195.0,0.009887338965199888,0.13488743849826157,0.04954806067807984,0.09780149985564872,0.012377929627164927,0.007737057941408879
196.0,0.010453941999003291,0.13488743849826157,0.05146502353934432,0.10320755888740138,0.013400340834071408,0.008255030493900622
197.0,0.010391275980509818,0.13488743849826157,0.053413323883243186,0.10883358467016711,0.014472799061745114,0.008789817756841383
198.0,0.00920601503457874,0.13488743849826157,0.055174784483123095,0.11402307788775758,0.01547472267848577,0.009281541619557344
199.0,0.01035396195948124,0.13488743849826157,0.057202802886447066,0.12013312692982266,0.01665531328943858,0.009852819239218175
200.0,0.010100760962814093,0.13488743849826157,0.05922828869853292,0.1263717102093801,0.01786874928827212,0.010430611077577149
201.0,0.010244073928333819,0.13488743849826157,0.06133334104661612,0.1329923732711057,0.019163310430106988,0.01103735004565362
202.0,0.009274457930587232,0.13488743849826157,0.06328301621382566,0.13924407943455788,0.020396742601098812,0.01160618353693282
203.0,0.009639065014198422,0.13488743849826157,0.06535891144613734,0.14603003382549107,0.021738925335610726,0.012216172644512458
204.0,0.00966808304656297,0.13488743849826157,0.06749335689540437,0.15314418474378125,0.023150755829927972,0.012848068028206669
205.0,0.010645586997270584,0.13488743849826157,0.0699100499793992,0.16136453679132723,0.024781065571743973,0.013566574430774529
206.0,0.009331253939308226,0.13488743849826157,0.07208212583699329,0.16888540308620334,0.026286799041342693,0.014218922860042033
